ccown,ccowc,pais,continent,regio,poblacio,pibcap_2011,pibcap_1900,despesa_educacio,despesa_militar,religio_llib,n_aliances,confianca_altres,co2_capita,gini,democracia
343,MKD,North Macedonia,Europe,Europe & Central Asia,2.08345890045166,13074.2314453125,NA,NA,1.164594173431396,Sí,7,0.15864494,3.996737241744995,33,0.421999990940094
651,EGY,Egypt,Africa,Middle East & North Africa,100.3880767822266,11957.2119140625,NA,2.609999895095825,1.180971741676331,NA,5,0.073517129,2.361040830612183,31.5,0.1209999993443489
200,GBR,United Kingdom of Great Britain and Northern Ireland (the),Europe,Europe & Central Asia,67.5301742553711,38058.0859375,7594,5.207749843597412,1.976479649543762,NA,8,NA,5.220514297485352,35.09999847412109,0.8040000200271606
510,TZA,"Tanzania, the United Republic of",Africa,Sub-Saharan Africa,56.37987518310547,2874.962890625,NA,3.596839904785156,1.017766833305359,Sí,4,NA,0.2079415917396545,40.5,0.3070000112056732
2,USA,United States of America (the),Americas,North America,329.0649108886719,55334.73828125,8037.5712890625,4.988709926605225,3.426194906234741,Sí,19,0.3718209,14.67341041564941,41.5,0.7250000238418579
439,BFA,Burkina Faso,Africa,Sub-Saharan Africa,20.32137870788574,1589.624145507813,NA,5.696849822998047,2.606037616729736,Sí,4,NA,0.2386448085308075,47.29999923706055,0.5070000290870667
165,URY,Uruguay,Americas,Latin America & Caribbean,3.461734056472778,20185.8359375,3387,4.703259944915771,2.059818983078003,Sí,2,0.14569017,1.893006324768066,39.70000076293945,0.8149999976158142
704,UZB,Uzbekistan,Asia,Europe & Central Asia,32.98171615600586,11220.3701171875,NA,7.00186014175415,3.555482625961304,Sí,34,NA,3.475544452667236,NA,0.0670000016689301
101,VEN,Venezuela (Bolivarian Republic of),Americas,Latin America & Caribbean,28.51582908630371,10709.9501953125,1846,1.344079971313477,0.1792303770780563,Sí,2,0.14201681,3.877579212188721,NA,0.0729999989271164
990,WSM,Samoa,Oceania,East Asia & Pacific,NA,NA,NA,4.706250190734863,NA,Sí,1,NA,1.415728807449341,NA,NA
679,YEM,Yemen,Asia,Middle East & North Africa,29.16192245483398,2284.889892578125,NA,NA,NA,NA,3,NA,0.3518594205379486,NA,0.0399999991059303
551,ZMB,Zambia,Africa,Sub-Saharan Africa,17.86103057861328,3534.03369140625,NA,4.465179920196533,1.219374537467957,Sí,4,NA,0.3699577748775482,NA,0.2790000140666962
