Any,Ambit,Titularitat,Tipus,Edicio,NomDelFestival,DataInici,DataFi,Assistents_a_Barcelona,Assistents_fora_de_Barcelona,Espai,Organitzador,Notes_Dades
2021,Lletres,Privada,Fires,27,"Manga Barcelona",29/10/2021,1/11/2021,122000,,"Fira de Barcelona","FEDERACIÓ D'INSTITUCIONS PROFESSIONALS DEL CÒMIC - FICOMIC",Presencial
2021,Audiovisuals,"Consorci o fundació amb presència municipal",Festivals,7,"Manifestos Filmics Feministes",11/11/2021,13/11/2021,305,,CCCB,CCCB,Presencial
2021,Audiovisuals,Mixta,Festivals,33,"Marató de Cinema Fantàstic i de Terror de Sants",26/11/2021,27/11/2021,400,,"Centre cívic Cotxeres de Sants","Secretariat d'entitats SHB i Ajuntament de Barcelona",Presencial
2021,Música,Privada,Festivals,18,"Mas i Mas Festival",1/8/2021,31/8/2021,6407,0,"Palau de la Música, Jamboree Jazz club i Tarantos","PELAIMAS SL",Presencial
2021,Audiovisuals,Privada,Festivals,,"Mecal Air",25/6/2021,11/9/2021,,,,"Assoc.  Mecal",
2021,Audiovisuals,Privada,Festivals,23,"Mecal. Festival Internacional de Curtmetratges de Barcelona",22/3/2021,22/4/2021,,,,"Assoc.  Mecal",
2021,"Multidisciplinaris i altres","Consorci o fundació amb presència municipal",Festivals,2,MemeFest,27/11/2021,27/11/2021,245,,CCCB,CCCB,Presencial
2021,"Arts escèniques",Municipal,Festivals,12,"Mercè Arts de Carrer. MAC",23/9/2021,26/9/2021,52568,,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",Presencial
2021,Música,Privada,Festivals,26,"Minifestival de Música i Cultura Independent de Barcelona",21/5/2021,22/5/2021,140,,"Espai Jove les Basses","Associació Minifestival de Música Independent","A banda del públic presencial, van registrar-se 273 usuaris en línia"
2021,"Multidisciplinaris i altres",Privada,Festivals,10,MIRA,11/11/2021,13/11/2021,3100,,"Fabra i Coats","Associació Cultural Mira",Presencial
2021,Lletres,Municipal,Festivals,16,"Món Llibre",17/4/2021,18/4/2021,3800,,"CCCB i biblioteques Poblenou-Manuel Arranz i Nou Barris","Institut de Cultura. Ajuntament de Barcelona",Presencial
2021,Audiovisuals,Privada,Festivals,15,"Mostra de cinema àrab I mediterrani de Catalunya",4/11/2021,14/11/2021,1400,,"Filmoteca de Catalunya i La Panafricana",SODEPAU,"A banda del públic presencial, van registrar-se 160 usuaris en línia"
2021,Audiovisuals,"Pública no municipal",Festivals,18,"Mostra de cinema espiritual de Catalunya",15/11/2021,30/11/2021,2500,2000,"Filmoteca de Catalunya","Direcció General d'Afers Religiosos. Departament de Justícia. Generalitat de Catalunya","A banda del públic presencial, van registrar-se 3.342 usuaris en línia"
2021,Audiovisuals,Privada,Festivals,,"Mostra de Cinema Italià de Barcelona. MCIB",10/12/2021,15/12/2021,,,,"Istituto Luce Cinecittà",
2021,Audiovisuals,Privada,Festivals,20,"Mostra de Curtmetratges Dr. Mabuse",11/6/2021,13/6/2021,200,,"Pl. Sant Felip Neri, CC Trinitat Vella i Cinemes Girona.","La Jarra Azul",Presencial
2021,Audiovisuals,Privada,Festivals,26,"Mostra FIRE!! de cinema LGTBI de Barcelona",10/6/2021,20/6/2021,4416,230,"Institut Francès de Barcelona","Casal Lambda","A banda del públic presencial, van registrar-se 53.964 usuaris en línia"
2021,Audiovisuals,Privada,Festivals,29,"Mostra Internacional de Films de Dones de Barcelona",1/1/2021,10/12/2021,5628,1481,"Filmoteca de Catalunya","Drac Màgic","A banda del públic presencial, van registrar-se 13.607 usuaris en línia"
2021,"Multidisciplinaris i altres",Municipal,Festivals,12,"Mostra Sonora i Visual",7/6/2021,13/6/2021,,,,"Centre Cívic Convent de Sant Agustí. Ajuntament de Barcelona",
2021,"Multidisciplinaris i altres",Municipal,Festivals,1,Moujuïc,18/9/2021,19/9/2021,572,,"Castell de Montjuïc","Castell de Montjuïc. Institut de Cultura. Ajuntament de Barcelona",Presencial
2021,Audiovisuals,Privada,Festivals,,"Muestra de Cine Día de Brasil ",17/9/2021,19/9/2021,,,,"Associació Diversia",
2021,Lletres,Privada,Festivals,12,"Munt de Mots. Festival de Narració Oral de Barcelona",18/10/2021,23/10/2021,901,112,"Diversos espais de la ciutat","Associació Munt de Paraules","A banda del públic presencial, van registrar-se 7.103 usuaris en línia"
2021,"Multidisciplinaris i altres",Municipal,Festivals,9,"MUSES Cicle de Dones Creadores",4/2/2021,7/3/2021,,,,"Centre Cultural La Farinera del Clot. Ajuntament de Barcelona",
2021,Música,Privada,Festivals,12,"MUTEK Barcelona",3/5/2021,9/5/2021,2500,500,"Diversos espais de la ciutat","Association MUTEK.ES","A banda del públic presencial, van registrar-se 60.000 usuaris en línia"
2021,"Multidisciplinaris i altres",Municipal,Festivals,7,"Nits al Castell",19/6/2021,26/6/2021,595,,"Castell de Montjuïc","Castell de Montjuïc. Institut de Cultura. Ajuntament de Barcelona",Presencial
2021,Música,Privada,Festivals,7,"Nits de Blues",30/6/2021,25/8/2021,2099,,"Poble Espanyol","Poble Espanyol de Barcelona",Presencial
2021,Música,Privada,Festivals,2,"Nits del Fòrum",31/12/2021,31/12/2021,40000,,"Parc del Fòrum","Primavera Sound",Presencial
