Migracions. Totals
Municipis. 2021
Font: Idescat, a partir de l'Estadística de variacions residencials de l'INE.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=mm&n=5489&by=mun
Codi;Literal;Migracions internes  amb la resta de Catalunya  immigracions;Migracions internes  amb la resta de Catalunya  emigracions;Migracions internes  amb la resta de Catalunya  saldo migratori;Migracions internes  amb la resta d'Espanya  immigracions;Migracions internes  amb la resta d'Espanya  emigracions;Migracions internes  amb la resta d'Espanya  saldo migratori;Migracions externes  immigracions;Migracions externes  emigracions;Migracions externes  saldo migratori;Saldo migratori total
251142;Ivorra;2;10;-8;0;0;0;0;0;0;-8;
170852;Jafre;16;14;2;3;0;3;3;0;3;8;
170865;Jonquera, la;96;140;-44;32;52;-20;138;89;49;-15;
081038;Jorba;41;50;-9;0;3;-3;2;4;-2;-14;
259101;Josa i Tuixén;9;8;1;3;1;2;0;0;0;3;
170871;Juià;35;23;12;0;2;-2;6;0;6;16;
251180;Juncosa;18;16;2;5;2;3;6;5;1;6;
251193;Juneda;81;93;-12;23;22;1;67;51;16;5;
251214;Les;41;42;-1;10;12;-2;22;7;15;12;
251229;Linyola;101;67;34;14;11;3;20;62;-42;-5;
081043;Llacuna, la;62;58;4;7;6;1;23;7;16;21;
170887;Lladó;41;53;-12;1;4;-3;9;0;9;-6;
251235;Lladorre;15;5;10;1;0;1;2;0;2;13;
251240;Lladurs;16;6;10;0;0;0;1;1;0;10;
081056;Llagosta, la;418;641;-223;91;97;-6;181;95;86;-143;
170890;Llagostera;432;323;109;42;31;11;106;94;12;132;
170904;Llambilles;27;24;3;0;3;-3;5;2;3;3;
170911;Llanars;48;36;12;0;0;0;2;4;-2;10;
170926;Llançà;211;148;63;29;34;-5;79;42;37;95;
