Residus municipals. Generació. Total registrat i generació per càpita
Municipis. 2019
Unitats: Tones.
Font: Agència de Residus de Catalunya.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=resmc&n=6997&by=mun&t=201900
Codi,Literal,Total kg/hab./dia,Recollida no selectiva,Recollida selectiva,Total
430653,Garcia,0.77,53.28,94.20,147.48,
430666,"Garidells, els",1.47,76.85,23.44,100.29,
080885,"Garriga, la",1.23,4170.74,3269.71,7440.45,
170754,Garrigàs,1.79,173.48,112.49,285.97,
170767,Garrigoles,1.33,35.09,43.53,78.62,
170773,Garriguella,1.87,407.67,175.22,582.89,
080898,Gavà,1.48,14922.76,10403.35,25326.11,
250984,Gavet de la Conca,1.40,76.88,56.94,133.82,
080919,Gelida,1.32,1973.00,1645.69,3618.69,
170789,Ger,1.80,214.28,79.32,293.60,
259123,Gimenells i el Pla de la Font,1.05,198.78,228.79,427.57,
430672,Ginestar,1.03,63.58,220.08,283.66,
170792,Girona,1.25,22711.41,23716.76,46428.17,
080924,Gironella,1.03,534.63,1287.33,1821.97,
080930,Gisclareny,1.73,3.74,12.05,15.79,
430688,Godall,1.17,105.08,140.93,246.01,
250997,Golmés,1.51,686.58,329.25,1015.83,
170806,Gombrèn,1.65,61.23,51.75,112.98,
251001,Gósol,1.07,30.07,50.60,80.68,
080945,"Granada, la",1.36,636.00,438.27,1074.27,
251018,"Granadella, la",0.93,162.33,78.31,240.64,
080958,Granera,2.10,18.83,34.17,53.00,
251023,"Granja d'Escarp, la",0.60,50.29,155.35,205.64,
080961,Granollers,1.23,16680.13,10746.60,27426.73,
251039,Granyanella,1.65,54.56,34.58,89.14,
251057,Granyena de les Garrigues,1.39,42.55,24.42,66.97,
251044,Granyena de Segarra,1.63,52.35,32.34,84.69,
430691,Gratallops,1.37,76.24,38.19,114.43,
080977,Gualba,2.17,896.72,289.74,1186.46,
170813,Gualta,2.22,103.45,218.74,322.19,
080996,Guardiola de Berguedà,1.21,127.63,272.37,400.00,
430705,"Guiamets, els",0.99,42.79,54.99,97.78,
170828,Guils de Cerdanya,1.68,219.34,110.19,329.53,
251095,Guimerà,1.72,110.14,55.88,166.02,
259031,"Guingueta d'Àneu, la",2.30,119.05,130.31,249.36,
251109,Guissona,1.03,816.39,1864.31,2680.70,
251116,Guixers,2.95,104.74,39.34,144.08,
081000,Gurb,1.57,650.68,886.49,1537.17,
430712,Horta de Sant Joan,1.26,275.27,254.89,530.16,
081017,"Hospitalet de Llobregat, l'",1.09,78676.52,27043.35,105719.87,
081629,"Hostalets de Pierola, els",1.82,1256.04,724.04,1980.08,
170834,Hostalric,1.09,1070.80,615.31,1686.11,
081022,Igualada,1.34,12836.59,6756.70,19593.29,
251155,Isona i Conca Dellà,1.43,300.15,229.99,530.14,
170849,Isòvol,1.54,128.95,29.45,158.40,
251137,Ivars d'Urgell,0.99,301.12,253.47,554.59,
251121,Ivars de Noguera,1.24,58.00,92.94,150.94,
251142,Ivorra,1.62,38.34,23.29,61.63,
170852,Jafre,1.29,85.67,93.65,179.32,
170865,"Jonquera, la",4.85,3190.28,2628.52,5818.80,
081038,Jorba,0.96,50.85,241.18,292.03,
259101,Josa i Tuixén,1.35,21.66,30.67,52.33,
170871,Juià,1.47,124.40,49.31,173.71,
251180,Juncosa,0.81,76.38,37.09,113.47,
251193,Juneda,1.10,850.01,542.29,1392.30,
251214,Les,2.34,495.09,314.31,809.40,
251229,Linyola,0.87,401.15,460.01,861.16,
081043,"Llacuna, la",1.83,423.53,156.85,580.38,
170887,Lladó,1.22,202.65,162.89,365.54,
251235,Lladorre,1.95,69.91,93.73,163.64,
251240,Lladurs,1.49,53.02,42.64,95.66,
081056,"Llagosta, la",1.06,3764.58,1459.93,5224.51,
170890,Llagostera,1.50,1731.37,2906.96,4638.33,
170904,Llambilles,1.12,164.35,120.34,284.69,
170911,Llanars,1.65,187.40,117.57,304.97,
170926,Llançà,2.94,2821.38,2361.75,5183.13,
251253,Llardecans,0.81,26.96,105.59,132.55,
251266,Llavorsí,1.93,104.85,142.59,247.44,
251207,Lleida,1.28,40919.51,23946.30,64865.80,
170932,Llers,2.15,641.15,331.34,972.49,
251272,Lles de Cerdanya,2.19,153.87,48.37,202.24,
081075,Lliçà d'Amunt,1.87,6123.96,4301.42,10425.38,
081081,Lliçà de Vall,1.37,781.40,2485.45,3266.85,
251288,Llimiana,1.45,42.71,33.91,76.62,
