cod_municipi,any,cod_provincia,nom_provincia,cod_comarca,nom_comarca,nom_municipi,pp_perc,psc_perc,cs_perc,indep_perc,abst_perc,intervencio
08054,2015,8,BARCELONA,40,VALLÈS OCCIDENTAL,CASTELLBISBAL,7,13.63,24.15,40.84,19.059999,1
08054,2017,8,BARCELONA,40,VALLÈS OCCIDENTAL,CASTELLBISBAL,3.447372,14.340018,30.81662,40.070782,15.807409,1
08055,2012,8,BARCELONA,41,VALLÈS ORIENTAL,CASTELLCIR,4.9180326,3.0054646,3.2786884,74.590164,24.485598,0
08055,2015,8,BARCELONA,41,VALLÈS ORIENTAL,CASTELLCIR,3.3099999,3.0699999,10.17,75.18,18.18,0
08055,2017,8,BARCELONA,41,VALLÈS ORIENTAL,CASTELLCIR,1.5765766,3.8288288,11.936937,79.279282,14.395393,0
08056,2012,8,BARCELONA,11,BAIX LLOBREGAT,CASTELLDEFELS,20.836315,15.321153,12.14918,32.665287,32.680214,0
08056,2015,8,BARCELONA,11,BAIX LLOBREGAT,CASTELLDEFELS,13.18,13.18,27.42,31.33,23.59,0
08056,2017,8,BARCELONA,11,BAIX LLOBREGAT,CASTELLDEFELS,5.9905972,16.653688,35.355194,31.282629,18.510445,0
08057,2012,8,BARCELONA,14,BERGUEDÀ,CASTELL DE L'ARENY,0,3.7037036,0,88.888885,8.474576,0
08057,2015,8,BARCELONA,14,BERGUEDÀ,CASTELL DE L'ARENY,0,0,0,90.739998,10,0
08057,2017,8,BARCELONA,14,BERGUEDÀ,CASTELL DE L'ARENY,1.8181819,0,1.8181819,92.727272,15.384615,0
08058,2012,8,BARCELONA,3,ALT PENEDÈS,CASTELLET I LA GORNAL,13.059361,14.246575,4.6575341,51.506851,35.416668,0
08058,2015,8,BARCELONA,3,ALT PENEDÈS,CASTELLET I LA GORNAL,7.3899999,14.25,14.94,49.77,24.129999,0
08058,2017,8,BARCELONA,3,ALT PENEDÈS,CASTELLET I LA GORNAL,4.1755133,14.08351,24.769993,48.549187,18.613976,0
08059,2012,8,BARCELONA,7,BAGES,CASTELLFOLLIT DEL BOIX,3.4334764,3.8626609,.85836911,79.399139,28.04878,0
08059,2015,8,BARCELONA,7,BAGES,CASTELLFOLLIT DEL BOIX,2.73,3.0699999,5.1199999,79.860001,14.08,0
08059,2017,8,BARCELONA,7,BAGES,CASTELLFOLLIT DEL BOIX,1.6835017,2.3569024,10.10101,83.164986,13.411078,0
08060,2012,8,BARCELONA,6,ANOIA,CASTELLFOLLIT DE RIUBREGÓS,6.6176472,3.6764705,.7352941,82.352943,15.243902,0
08060,2015,8,BARCELONA,6,ANOIA,CASTELLFOLLIT DE RIUBREGÓS,5.4299998,0,6.1999998,75.970001,7.6399999,0
08060,2017,8,BARCELONA,6,ANOIA,CASTELLFOLLIT DE RIUBREGÓS,3.8461537,6.1538463,11.538462,74.615387,9.090909,0
08061,2012,8,BARCELONA,7,BAGES,CASTELLGALÍ,11.575875,15.36965,7.3929963,47.373539,31.124498,1
08061,2015,8,BARCELONA,7,BAGES,CASTELLGALÍ,8.8100004,13.47,16.15,45.419998,21.280001,1
08061,2017,8,BARCELONA,7,BAGES,CASTELLGALÍ,2.9862175,13.169985,26.11026,47.243492,17.754078,1
08062,2012,8,BARCELONA,7,BAGES,CASTELLNOU DE BAGES,9.6385546,11.596386,5.7228913,58.13253,26.158941,0
08062,2015,8,BARCELONA,7,BAGES,CASTELLNOU DE BAGES,4.6500001,8.1700001,15.95,62.810001,15.16,0
08062,2017,8,BARCELONA,7,BAGES,CASTELLNOU DE BAGES,1.7421603,8.2462254,19.163763,65.040649,10.259068,0
08063,2012,8,BARCELONA,6,ANOIA,CASTELLOLÍ,3.8356164,3.5616438,1.369863,82.739723,15.046296,0
08063,2015,8,BARCELONA,6,ANOIA,CASTELLOLÍ,2.22,3.95,2.72,85.68,9.1899996,0
08063,2017,8,BARCELONA,6,ANOIA,CASTELLOLÍ,.94786727,4.5023699,4.5023699,84.360191,8.4415588,0
08064,2012,8,BARCELONA,41,VALLÈS ORIENTAL,CASTELLTERÇOL,5.0449204,6.6344161,1.1748445,75.881134,21.762493,0
08064,2015,8,BARCELONA,41,VALLÈS ORIENTAL,CASTELLTERÇOL,3.6500001,6.5,4.77,77.779999,18.49,0
08064,2017,8,BARCELONA,41,VALLÈS ORIENTAL,CASTELLTERÇOL,1.6885554,6.6916823,9.6310196,76.360222,14.293333,0
08065,2012,8,BARCELONA,3,ALT PENEDÈS,CASTELLVÍ DE LA MARCA,5.2106428,6.3192906,.88691795,76.718407,24.607761,0
08065,2015,8,BARCELONA,3,ALT PENEDÈS,CASTELLVÍ DE LA MARCA,4.4899998,5.71,5.3099999,75.410004,15.84,0
08065,2017,8,BARCELONA,3,ALT PENEDÈS,CASTELLVÍ DE LA MARCA,3.369673,6.8384538,9.5143709,74.529236,13.763806,0
08066,2012,8,BARCELONA,11,BAIX LLOBREGAT,CASTELLVÍ DE ROSANES,13.445378,14.390757,6.6176472,48.84454,26.355997,0
08066,2015,8,BARCELONA,11,BAIX LLOBREGAT,CASTELLVÍ DE ROSANES,8,11.21,17,48.529999,19.629999,0
08066,2017,8,BARCELONA,11,BAIX LLOBREGAT,CASTELLVÍ DE ROSANES,2.4576271,13.559322,25.677965,48.474575,15.329513,0
08067,2012,8,BARCELONA,24,OSONA,CENTELLES,5.7004833,8.3816423,2.2946861,70.289856,25.894438,0
08067,2015,8,BARCELONA,24,OSONA,CENTELLES,5.0500002,7.9299998,5.8499999,73.300003,19.040001,0
08067,2017,8,BARCELONA,24,OSONA,CENTELLES,2.322206,7.3190961,12.523326,73.377563,15.24209,0
08068,2012,8,BARCELONA,11,BAIX LLOBREGAT,CERVELLÓ,12.392387,13.27594,7.702764,49.365654,32.735222,0
08068,2015,8,BARCELONA,11,BAIX LLOBREGAT,CERVELLÓ,7.1199999,11.65,20.52,48,22.75,0
08068,2017,8,BARCELONA,11,BAIX LLOBREGAT,CERVELLÓ,3.9156628,13.128986,26.11623,47.856129,16.536478,0
08069,2012,8,BARCELONA,11,BAIX LLOBREGAT,COLLBATÓ,10.608139,7.8646545,6.0813899,58.573387,27.281713,0
08069,2015,8,BARCELONA,11,BAIX LLOBREGAT,COLLBATÓ,7.21,7.3600001,14.38,60.790001,16.59,0
08069,2017,8,BARCELONA,11,BAIX LLOBREGAT,COLLBATÓ,2.6099393,9.2241688,21.23704,59.599571,13.098548,0
08070,2012,8,BARCELONA,24,OSONA,COLLSUSPINA,3.2863851,1.8779342,.46948355,84.03756,20.512821,0
08070,2015,8,BARCELONA,24,OSONA,COLLSUSPINA,3,3,1.29,84.980003,11.36,0
08070,2017,8,BARCELONA,24,OSONA,COLLSUSPINA,.42194092,3.7974684,6.329114,85.232071,10.902256,0
08071,2012,8,BARCELONA,6,ANOIA,COPONS,3.7037036,4.2328043,0,80.423279,20.731707,0
08071,2015,8,BARCELONA,6,ANOIA,COPONS,5.29,4.3299999,.95999998,80.769997,12.5,0
08071,2017,8,BARCELONA,6,ANOIA,COPONS,1.4150944,8.0188675,8.4905663,78.301888,13.709678,0
08072,2012,8,BARCELONA,11,BAIX LLOBREGAT,CORBERA DE LLOBREGAT,11.318464,10.241238,8.4509182,52.99651,32.946167,0
08072,2015,8,BARCELONA,11,BAIX LLOBREGAT,CORBERA DE LLOBREGAT,6.8299999,9.71,18.110001,52.439999,23.6,0
08072,2017,8,BARCELONA,11,BAIX LLOBREGAT,CORBERA DE LLOBREGAT,3.0783803,11.508407,25.0296,52.261425,19.166588,0
